,City Name,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed
111,Tuktoyaktuk,69.44,-133.03,6.8,75,77,9.17
112,Beringovskiy,63.05,179.32,10.33,36,92,25.88
113,Avera,33.19,-82.53,82.4,40,57,4.7
114,Mokrous,51.24,47.51,37.78,92,86,5.41
115,Saskylakh,71.97,114.09,11.14,32,69,9.44
116,Belawan,-0.59,114.46,71.98,92,100,2.39
117,Nara,34.68,135.8,53.01,90,93,9.17
118,Palmares,-8.68,-35.59,76.75,92,86,5.75
119,Shimoda,34.7,138.93,55.4,75,82,11.41
120,Gao,16.28,-0.04,82.24,0,18,9.22
121,Victor,38.71,-105.14,73.0,1,13,13.87
122,Vao,59.1,26.19,43.18,68,82,7.43
123,Severo-Kurilsk,50.68,156.12,32.65,88,95,24.32
124,Kalmunai,7.42,81.82,73.87,8,100,2.95
125,Xai-Xai,-25.04,33.64,75.58,0,100,7.76
126,Khani,41.96,42.96,53.6,0,87,5.82
127,Avarua,-21.21,-159.78,80.6,32,78,12.75
128,College,64.86,-147.8,48.0,1,44,3.36
129,Tabuk,17.41,121.44,68.02,76,94,1.61
130,Vanavara,60.35,102.28,23.2,0,74,7.31
131,Castro,-42.48,-73.76,66.2,75,72,12.75
132,Labuhan,-2.54,115.51,72.16,92,97,0.49
133,Aksehir,38.36,31.42,40.12,0,89,1.72
134,Lerwick,60.15,-1.15,42.8,0,97,26.4
135,Igarka,67.47,86.57,20.41,20,85,16.71
136,Okato,-39.19,173.88,64.99,44,63,8.99
137,Clyde,-45.19,169.32,32.29,0,79,2.06
138,Ibra,22.69,58.55,65.32,8,42,2.28
139,Bagalkot,16.19,75.7,70.63,0,75,3.29
140,Muros,42.77,-9.06,57.99,90,100,6.93
141,Namibe,-15.19,12.15,77.02,0,100,7.76
142,Camacha,33.08,-16.33,64.4,20,63,14.99
143,Arraial,-22.84,-46.65,82.4,40,69,4.7
144,Byron,32.65,-83.76,84.2,75,57,10.29
145,Bang,10.45,13.37,79.54,24,50,0.94
146,Tazovskiy,67.47,78.7,28.06,92,93,9.55
147,Baykit,61.68,96.39,14.83,8,83,6.31
148,Boyabat,41.47,34.77,48.85,92,56,0.27
149,Sabla,12.75,4.71,82.42,32,66,3.4
150,Hami,42.84,93.51,43.45,88,68,1.39
151,Fare,-16.7,-151.02,84.67,64,97,16.26
152,Atambua,-9.11,124.89,76.39,0,100,1.72
153,Kungurtug,50.6,97.53,18.52,80,77,6.2
154,Cidreira,-30.17,-50.22,68.83,92,96,8.32
155,Upernavik,72.79,-56.15,36.16,20,83,19.95
156,Erzin,36.95,36.2,63.0,0,67,8.05
157,Markapur,15.74,79.27,72.43,12,74,3.29
158,Filingue,14.35,3.32,84.58,0,25,7.76
159,Saint-Augustin,44.83,-0.61,51.8,0,76,3.36
160,Baytown,29.74,-94.98,66.2,75,88,5.82
161,Marsh,53.65,-1.81,54.0,75,93,10.29
162,Adrar,27.87,-0.29,75.2,0,10,6.93
163,Hailey,43.52,-114.32,46.4,40,70,8.05
164,Cluses,46.06,6.58,48.2,75,70,2.24
165,Hasaki,35.73,140.83,50.0,0,66,17.22
166,Nabire,-3.36,135.5,67.93,92,99,2.17
167,Mudgee,-32.6,149.59,51.8,0,93,6.53
168,Sturgis,44.41,-103.51,72.0,1,23,18.34
169,Prado,-17.34,-39.22,82.78,48,94,12.91
170,Kamaishi,39.28,141.86,30.76,12,79,3.85
171,Thompson,55.74,-97.86,23.0,90,45,10.29
172,Dawson,39.85,-89.46,75.99,90,64,9.17
173,Kahului,20.89,-156.47,79.0,20,57,7.2
174,Cayenne,4.94,-52.33,80.6,90,78,8.05
175,San,13.3,-4.9,85.93,36,27,9.78
176,Formoso,39.78,-97.99,73.4,40,35,18.34
177,Kruisfontein,-34.0,24.73,67.03,20,77,15.48
178,Phan,19.55,99.74,71.6,20,83,4.7
179,Chuy,-33.69,-53.46,69.19,0,83,3.74
180,Moranbah,-22.0,148.04,60.46,0,87,6.2
181,Natal,-5.81,-35.21,87.8,20,62,14.99
182,Deer,38.62,-91.8,81.0,40,53,17.22
183,Sangar,63.92,127.47,15.1,8,74,3.62
184,Nahrin,36.06,69.13,49.84,92,99,2.06
185,Norman,35.22,-97.44,77.0,1,73,5.97
186,Chimore,-16.98,-65.13,76.57,8,69,3.29
187,Anupgarh,29.19,73.21,70.45,0,58,1.95
188,Oranjestad,12.52,-70.03,86.0,20,62,26.4
189,Vanimo,-2.67,141.3,80.35,48,100,6.2
190,Lata,30.78,78.62,45.25,24,79,2.51
191,Dongsheng,29.72,112.52,67.21,0,90,9.89
192,Paulo,-0.77,34.6,62.53,0,85,2.39
193,Galle,29.74,-97.91,75.0,40,64,11.41
194,Tecoanapa,16.99,-99.26,82.4,40,74,11.41
195,Brindisi,40.63,17.94,55.4,40,93,2.24
196,Muisne,0.61,-80.02,84.2,20,79,10.29
197,Geraldton,49.72,-86.95,32.0,90,77,14.99
198,Vila,45.18,8.4,51.01,75,81,3.36
199,Caohe,32.93,105.08,47.95,32,79,0.94
200,Svetlogorsk,53.14,59.15,33.8,24,74,8.95
201,Airai,-8.93,125.41,66.49,0,89,1.39
202,Ust-Nera,64.57,143.24,18.7,80,89,2.62
203,Klyuchi,52.25,79.17,25.18,0,63,4.63
204,Strezhevoy,60.73,77.6,28.4,0,63,6.71
205,Slonim,53.09,25.32,39.49,0,92,2.95
206,Pangnirtung,66.15,-65.72,26.6,90,63,6.93
207,Mayumba,-3.44,10.65,82.15,88,92,5.19
208,Tabou,4.42,-7.36,83.5,24,100,14.03
209,Port,46.16,5.57,50.0,75,70,2.24
210,Berlevag,70.86,29.09,30.2,90,100,4.7
211,Mount,53.66,-1.85,54.0,75,93,10.29
212,Brookhaven,40.78,-72.92,64.99,1,47,11.41
213,Jinka,5.79,36.57,65.95,24,67,1.61
214,Lamar,38.09,-102.62,71.6,1,18,12.75
215,Taunsa,30.7,70.65,71.71,0,62,17.05
216,Hojo,33.98,132.78,57.99,40,87,3.36
217,Ahipara,-35.17,173.16,63.52,76,85,15.93
218,Mys,62.06,48.62,35.26,92,98,3.29
219,Port,46.16,5.57,50.0,75,70,2.24
220,Pisco,-13.71,-76.2,71.6,0,30,9.17
221,Caravelas,-17.73,-39.27,83.23,0,96,13.47
