,City Name,Lat,Lng,Max_Temp,Cloudiness,Humidity,Wind_Speed
488,Itarema,-2.92,-39.92,79.36,56,92,6.87
489,Druskininkai,54.02,23.98,37.24,0,89,2.95
490,Navalmoral,40.46,-4.77,48.99,80,90,2.73
491,Veere,51.55,3.67,63.0,68,76,11.41
492,Lebedinyy,58.52,125.52,21.31,80,81,2.39
493,Deputatskiy,69.3,139.9,-0.84,0,52,2.73
494,Hudson,40.07,-104.64,71.01,1,15,3.36
495,Kursavka,44.46,42.51,48.2,90,81,11.18
496,Santa,17.49,120.43,67.93,0,82,3.18
497,San,13.3,-4.9,85.93,36,27,9.78
498,Kendari,-3.99,122.52,75.4,64,94,2.62
499,Shagonar,51.54,92.92,14.65,8,73,1.95
500,Leoben,47.38,15.09,51.8,75,76,1.12
501,Sioux,46.74,-90.88,53.6,90,93,3.36
502,Trinidad,-33.52,-56.9,70.81,0,43,2.95
503,Tuatapere,-46.13,167.69,47.41,0,100,5.19
504,Seymchan,62.93,152.39,11.77,0,72,3.51
505,Mbandaka,0.05,18.26,73.15,12,100,2.17
506,Suluova,40.83,35.65,54.0,75,66,3.36
507,Voyinka,45.87,33.99,48.04,20,73,8.32
508,Gisborne,-38.66,178.02,51.01,0,99,4.0
509,Moron,10.49,-68.2,77.11,76,70,4.63
510,Gwadar,25.12,62.33,78.28,0,84,10.33
511,Kabo,7.69,18.62,84.58,44,59,13.35
512,Tarsus,36.92,34.88,63.0,20,63,6.93
513,Grand-Santi,4.27,-54.38,81.43,92,71,3.4
514,Garissa,-0.46,39.64,84.22,12,45,11.23
515,Meulaboh,4.14,96.13,80.08,64,100,3.06
516,Santa,17.49,120.43,67.93,0,82,3.18
517,Cabinda,-5.56,12.19,82.24,80,100,6.2
518,Mezhdurechensk,53.69,88.07,21.4,20,78,2.39
519,Glendive,47.11,-104.71,60.8,1,24,17.22
520,Namatanai,-3.66,152.44,79.27,48,100,9.66
521,Arman,59.7,150.17,20.86,20,68,4.41
522,Amara,44.62,27.32,54.0,44,65,5.97
523,Bourail,-21.57,165.5,67.75,92,100,10.0
524,Guerrero,-24.19,-65.45,80.6,20,44,5.82
525,Mindelo,41.31,-8.72,57.99,90,93,14.99
526,Santa,17.49,120.43,67.93,0,82,3.18
527,Faya,18.39,42.45,66.2,0,72,6.93
528,Ilebo,-4.33,20.59,73.51,88,96,1.16
529,Nelson,49.49,-117.29,44.01,92,85,2.17
530,Esso,55.93,158.7,14.47,48,87,2.28
531,Carlyle,49.63,-102.27,59.0,1,44,12.75
532,Oktyabrskiy,55.61,37.97,42.01,20,80,6.71
